,lags,params,mean_absolute_percentage_error,learning_rate,max_depth,max_iter
47,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 500}",0.007455599479157568,0.1,,500.0
45,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': 10, 'max_iter': 500}",0.0086067603489819,0.1,10.0,500.0
31,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 500}",0.029865941720003654,0.1,,500.0
29,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': 10, 'max_iter': 500}",0.03309565468384884,0.1,10.0,500.0
43,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 500}",0.10843294746661877,0.1,5.0,500.0
15,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 500}",0.222870374012055,0.1,,500.0
27,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 500}",0.2317324936827283,0.1,5.0,500.0
13,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': 10, 'max_iter': 500}",0.28608076765530865,0.1,10.0,500.0
46,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 100}",0.2992844336754834,0.1,,100.0
44,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': 10, 'max_iter': 100}",0.30564969900736794,0.1,10.0,100.0
41,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 500}",0.3520665775727525,0.1,3.0,500.0
42,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100}",0.4652685258566782,0.1,5.0,100.0
28,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': 10, 'max_iter': 100}",0.47440857822759386,0.1,10.0,100.0
30,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 100}",0.4782820922340109,0.1,,100.0
25,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 500}",0.4928067109559412,0.1,3.0,500.0
39,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': None, 'max_iter': 500}",0.492817009442731,0.01,,500.0
37,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': 10, 'max_iter': 500}",0.5356551499902256,0.01,10.0,500.0
11,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 500}",0.5968396726995854,0.1,5.0,500.0
26,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100}",0.6317530867749321,0.1,5.0,100.0
23,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': None, 'max_iter': 500}",0.6519126045760912,0.01,,500.0
40,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 100}",0.6536500531820201,0.1,3.0,100.0
35,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': 5, 'max_iter': 500}",0.6772372821538606,0.01,5.0,500.0
21,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': 10, 'max_iter': 500}",0.7224811976879348,0.01,10.0,500.0
9,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 500}",0.7905117866188439,0.1,3.0,500.0
19,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': 5, 'max_iter': 500}",0.8008932015624357,0.01,5.0,500.0
24,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 100}",0.8071052641786818,0.1,3.0,100.0
7,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': None, 'max_iter': 500}",0.8168324373114946,0.01,,500.0
33,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': 3, 'max_iter': 500}",0.8209031329288348,0.01,3.0,500.0
5,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': 10, 'max_iter': 500}",0.8483497236477564,0.01,10.0,500.0
36,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': 10, 'max_iter': 100}",0.8636516584433653,0.01,10.0,100.0
38,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': None, 'max_iter': 100}",0.8661401091901177,0.01,,100.0
22,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': None, 'max_iter': 100}",0.8707989663363722,0.01,,100.0
20,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': 10, 'max_iter': 100}",0.8741062924522346,0.01,10.0,100.0
17,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': 3, 'max_iter': 500}",0.9003535790074604,0.01,3.0,500.0
34,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': 5, 'max_iter': 100}",0.9365157369610941,0.01,5.0,100.0
18,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': 5, 'max_iter': 100}",0.9445117593001591,0.01,5.0,100.0
3,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': 5, 'max_iter': 500}",0.9620024220435542,0.01,5.0,500.0
32,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'learning_rate': 0.01, 'max_depth': 3, 'max_iter': 100}",0.967861323374791,0.01,3.0,100.0
0,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': 3, 'max_iter': 100}",0.97835827021428,0.01,3.0,100.0
16,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'learning_rate': 0.01, 'max_depth': 3, 'max_iter': 100}",0.9815491731275392,0.01,3.0,100.0
14,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 100}",0.9820904646638798,0.1,,100.0
10,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100}",0.9864433178663379,0.1,5.0,100.0
6,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': None, 'max_iter': 100}",0.9941748344812188,0.01,,100.0
4,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': 10, 'max_iter': 100}",0.9961479831981229,0.01,10.0,100.0
2,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': 5, 'max_iter': 100}",1.0021349601408454,0.01,5.0,100.0
12,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': 10, 'max_iter': 100}",1.055175661691993,0.1,10.0,100.0
1,[1 2 3 4 5 6 7],"{'learning_rate': 0.01, 'max_depth': 3, 'max_iter': 500}",1.1462298437936498,0.01,3.0,500.0
8,[1 2 3 4 5 6 7],"{'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 100}",1.2470221224318079,0.1,3.0,100.0
